Session: indicating the number of the experiment,,,,,,,,,,,,
Emotion: indicating the emotion of the viewed stimulus material  0: Fear 1: Sad 2: Neutral 3:Happy 4: Pride,,,,,,,,,,,,
Score: indicating the self-rating records for the stimulus material (The rating scale ranges from 0 to 9),,,,,,,,,,,,
,,,,,,,,,,,,
Subject,Age,Gender,Handedness,Date,Session,Trial,Emotion,Score,,,,
107,21,female,right,5-23-2023,2,3,2,5,,,,
107,21,female,right,5-23-2023,2,4,3,6,,,,
107,21,female,right,5-23-2023,2,5,0,8,,,,
107,21,female,right,5-23-2023,2,6,3,7,,,,
107,21,female,right,5-23-2023,2,7,2,5,,,,
107,21,female,right,5-23-2023,2,8,4,8,,,,
107,21,female,right,5-23-2023,2,9,1,7,,,,
107,21,female,right,5-23-2023,2,10,0,8,,,,
107,21,female,right,5-23-2023,2,11,2,5,,,,
107,21,female,right,5-23-2023,2,12,1,6,,,,
107,21,female,right,5-23-2023,2,13,4,7,,,,
107,21,female,right,5-23-2023,2,14,3,6,,,,
107,21,female,right,5-23-2023,2,15,0,8,,,,
107,21,female,right,6-01-2023,3,1,3,6,,,,
107,21,female,right,6-01-2023,3,2,4,6,,,,
107,21,female,right,6-01-2023,3,3,1,7,,,,
107,21,female,right,6-01-2023,3,4,2,5,,,,
107,21,female,right,6-01-2023,3,5,0,7,,,,
107,21,female,right,6-01-2023,3,6,1,6,,,,
107,21,female,right,6-01-2023,3,7,4,7,,,,
107,21,female,right,6-01-2023,3,8,2,6,,,,
107,21,female,right,6-01-2023,3,9,1,6,,,,
107,21,female,right,6-01-2023,3,10,0,6,,,,
107,21,female,right,6-01-2023,3,11,4,6,,,,
107,21,female,right,6-01-2023,3,12,2,5,,,,
107,21,female,right,6-01-2023,3,13,3,7,,,,
107,21,female,right,6-01-2023,3,14,0,7,,,,
107,21,female,right,6-01-2023,3,15,3,7,,,,
108,25,male,right,5-14-2023,1,1,1,7,,,,
108,25,male,right,5-14-2023,1,2,0,8,,,,
108,25,male,right,5-14-2023,1,3,4,1,,,,
108,25,male,right,5-14-2023,1,4,2,7,,,,
108,25,male,right,5-14-2023,1,5,3,7,,,,
108,25,male,right,5-14-2023,1,6,0,8,,,,
108,25,male,right,5-14-2023,1,7,3,6,,,,
108,25,male,right,5-14-2023,1,8,4,6,,,,
108,25,male,right,5-14-2023,1,9,1,1,,,,
108,25,male,right,5-14-2023,1,10,2,8,,,,
108,25,male,right,5-14-2023,1,11,0,2,,,,
108,25,male,right,5-14-2023,1,12,1,5,,,,
108,25,male,right,5-14-2023,1,13,4,1,,,,
108,25,male,right,5-14-2023,1,14,2,1,,,,
108,25,male,right,5-14-2023,1,15,3,5,,,,
108,25,male,right,5-21-2023,2,1,4,4,,,,
108,25,male,right,5-21-2023,2,2,1,5,,,,
108,25,male,right,5-21-2023,2,3,2,9,,,,
108,25,male,right,5-21-2023,2,4,3,6,,,,
108,25,male,right,5-21-2023,2,5,0,7,,,,
108,25,male,right,5-21-2023,2,6,3,4,,,,
108,25,male,right,5-21-2023,2,7,2,9,,,,
108,25,male,right,5-21-2023,2,8,4,6,,,,
108,25,male,right,5-21-2023,2,9,1,3,,,,
108,25,male,right,5-21-2023,2,10,0,7,,,,
108,25,male,right,5-21-2023,2,11,2,9,,,,
108,25,male,right,5-21-2023,2,12,1,2,,,,
108,25,male,right,5-21-2023,2,13,4,5,,,,
108,25,male,right,5-21-2023,2,14,3,6,,,,
108,25,male,right,5-21-2023,2,15,0,3,,,,
108,25,male,right,5-27-2023,3,1,3,6,,,,
108,25,male,right,5-27-2023,3,2,4,7,,,,
108,25,male,right,5-27-2023,3,3,1,4,,,,
108,25,male,right,5-27-2023,3,4,2,9,,,,
108,25,male,right,5-27-2023,3,5,0,5,,,,
108,25,male,right,5-27-2023,3,6,1,5,,,,
108,25,male,right,5-27-2023,3,7,4,6,,,,
108,25,male,right,5-27-2023,3,8,2,9,,,,
108,25,male,right,5-27-2023,3,9,1,4,,,,
108,25,male,right,5-27-2023,3,10,0,4,,,,
108,25,male,right,5-27-2023,3,11,4,5,,,,
108,25,male,right,5-27-2023,3,12,2,9,,,,
108,25,male,right,5-27-2023,3,13,3,7,,,,
108,25,male,right,5-27-2023,3,14,0,2,,,,
108,25,male,right,5-27-2023,3,15,3,6,,,,
109,27,female,right,5-14-2023,1,1,1,8,,,,
109,27,female,right,5-14-2023,1,2,0,9,,,,
109,27,female,right,5-14-2023,1,3,4,7,,,,
109,27,female,right,5-14-2023,1,4,2,9,,,,
109,27,female,right,5-14-2023,1,5,3,8,,,,
109,27,female,right,5-14-2023,1,6,0,7,,,,
109,27,female,right,5-14-2023,1,7,3,7,,,,
109,27,female,right,5-14-2023,1,8,4,9,,,,
109,27,female,right,5-14-2023,1,9,1,7,,,,
109,27,female,right,5-14-2023,1,10,2,9,,,,
109,27,female,right,5-14-2023,1,11,0,7,,,,
109,27,female,right,5-14-2023,1,12,1,9,,,,
109,27,female,right,5-14-2023,1,13,4,9,,,,
109,27,female,right,5-14-2023,1,14,2,9,,,,
109,27,female,right,5-14-2023,1,15,3,7,,,,
109,27,female,right,5-19-2023,2,1,4,6,,,,
109,27,female,right,5-19-2023,2,2,1,6,,,,
109,27,female,right,5-19-2023,2,3,2,7,,,,
109,27,female,right,5-19-2023,2,4,3,9,,,,
109,27,female,right,5-19-2023,2,5,0,7,,,,
109,27,female,right,5-19-2023,2,6,3,7,,,,
109,27,female,right,5-19-2023,2,7,2,9,,,,
109,27,female,right,5-19-2023,2,8,4,6,,,,
109,27,female,right,5-19-2023,2,9,1,6,,,,
109,27,female,right,5-19-2023,2,10,0,9,,,,
109,27,female,right,5-19-2023,2,11,2,9,,,,
109,27,female,right,5-19-2023,2,12,1,5,,,,
109,27,female,right,5-19-2023,2,13,4,9,,,,
109,27,female,right,5-19-2023,2,14,3,7,,,,
109,27,female,right,5-19-2023,2,15,0,9,,,,
109,27,female,right,6-01-2023,3,1,3,9,,,,
109,27,female,right,6-01-2023,3,2,4,8,,,,
109,27,female,right,6-01-2023,3,3,1,7,,,,
109,27,female,right,6-01-2023,3,4,2,9,,,,
109,27,female,right,6-01-2023,3,5,0,9,,,,
109,27,female,right,6-01-2023,3,6,1,9,,,,
109,27,female,right,6-01-2023,3,7,4,9,,,,
109,27,female,right,6-01-2023,3,8,2,8,,,,
109,27,female,right,6-01-2023,3,9,1,9,,,,
109,27,female,right,6-01-2023,3,10,0,9,,,,
109,27,female,right,6-01-2023,3,11,4,9,,,,
109,27,female,right,6-01-2023,3,12,2,9,,,,
109,27,female,right,6-01-2023,3,13,3,9,,,,
109,27,female,right,6-01-2023,3,14,0,6,,,,
109,27,female,right,6-01-2023,3,15,3,9,,,,
110,25,male,right,5-15-2023,1,1,1,7,,,,
110,25,male,right,5-15-2023,1,2,0,7,,,,
110,25,male,right,5-15-2023,1,3,4,7,,,,
110,25,male,right,5-15-2023,1,4,2,7,,,,
110,25,male,right,5-15-2023,1,5,3,8,,,,
110,25,male,right,5-15-2023,1,6,0,8,,,,
110,25,male,right,5-15-2023,1,7,3,8,,,,
110,25,male,right,5-15-2023,1,8,4,8,,,,
110,25,male,right,5-15-2023,1,9,1,8,,,,
110,25,male,right,5-15-2023,1,10,2,7,,,,
110,25,male,right,5-15-2023,1,11,0,7,,,,
110,25,male,right,5-15-2023,1,12,1,8,,,,
110,25,male,right,5-15-2023,1,13,4,7,,,,
110,25,male,right,5-15-2023,1,14,2,8,,,,
110,25,male,right,5-15-2023,1,15,3,8,,,,
110,25,male,right,5-21-2023,2,1,4,6,,,,
110,25,male,right,5-21-2023,2,2,1,7,,,,
110,25,male,right,5-21-2023,2,3,2,7,,,,
110,25,male,right,5-21-2023,2,4,3,7,,,,
110,25,male,right,5-21-2023,2,5,0,8,,,,
110,25,male,right,5-21-2023,2,6,3,7,,,,
110,25,male,right,5-21-2023,2,7,2,8,,,,
110,25,male,right,5-21-2023,2,8,4,7,,,,
110,25,male,right,5-21-2023,2,9,1,8,,,,
110,25,male,right,5-21-2023,2,10,0,7,,,,
110,25,male,right,5-21-2023,2,11,2,8,,,,
110,25,male,right,5-21-2023,2,12,1,7,,,,
110,25,male,right,5-21-2023,2,13,4,7,,,,
110,25,male,right,5-21-2023,2,14,3,7,,,,
110,25,male,right,5-21-2023,2,15,0,6,,,,
110,25,male,right,5-26-2023,3,1,3,7,,,,
110,25,male,right,5-26-2023,3,2,4,7,,,,
110,25,male,right,5-26-2023,3,3,1,8,,,,
110,25,male,right,5-26-2023,3,4,2,7,,,,
110,25,male,right,5-26-2023,3,5,0,7,,,,
110,25,male,right,5-26-2023,3,6,1,8,,,,
110,25,male,right,5-26-2023,3,7,4,8,,,,
110,25,male,right,5-26-2023,3,8,2,7,,,,
110,25,male,right,5-26-2023,3,9,1,8,,,,
110,25,male,right,5-26-2023,3,10,0,7,,,,
110,25,male,right,5-26-2023,3,11,4,7,,,,
110,25,male,right,5-26-2023,3,12,2,8,,,,
110,25,male,right,5-26-2023,3,13,3,8,,,,
110,25,male,right,5-26-2023,3,14,0,7,,,,
110,25,male,right,5-26-2023,3,15,3,8,,,,
111,20,female,right,5-13-2023,1,1,1,4,,,,
111,20,female,right,5-13-2023,1,2,0,6,,,,
111,20,female,right,5-13-2023,1,3,4,3,,,,
111,20,female,right,5-13-2023,1,4,2,9,,,,
111,20,female,right,5-13-2023,1,5,3,5,,,,
111,20,female,right,5-13-2023,1,6,0,7,,,,
111,20,female,right,5-13-2023,1,7,3,6,,,,
111,20,female,right,5-13-2023,1,8,4,3,,,,
111,20,female,right,5-13-2023,1,9,1,4,,,,
111,20,female,right,5-13-2023,1,10,2,8,,,,
111,20,female,right,5-13-2023,1,11,0,6,,,,
111,20,female,right,5-13-2023,1,12,1,5,,,,
111,20,female,right,5-13-2023,1,13,4,4,,,,
111,20,female,right,5-13-2023,1,14,2,8,,,,
111,20,female,right,5-13-2023,1,15,3,4,,,,
111,20,female,right,5-19-2023,2,1,4,6,,,,
111,20,female,right,5-19-2023,2,2,1,6,,,,
111,20,female,right,5-19-2023,2,3,2,8,,,,
111,20,female,right,5-19-2023,2,4,3,6,,,,
111,20,female,right,5-19-2023,2,5,0,7,,,,
111,20,female,right,5-19-2023,2,6,3,5,,,,
111,20,female,right,5-19-2023,2,7,2,8,,,,
111,20,female,right,5-19-2023,2,8,4,6,,,,
111,20,female,right,5-19-2023,2,9,1,6,,,,
111,20,female,right,5-19-2023,2,10,0,7,,,,
111,20,female,right,5-19-2023,2,11,2,8,,,,
111,20,female,right,5-19-2023,2,12,1,4,,,,
111,20,female,right,5-19-2023,2,13,4,4,,,,
111,20,female,right,5-19-2023,2,14,3,6,,,,
111,20,female,right,5-19-2023,2,15,0,6,,,,
111,20,female,right,5-26-2023,3,1,3,4,,,,
111,20,female,right,5-26-2023,3,2,4,5,,,,
111,20,female,right,5-26-2023,3,3,1,4,,,,
111,20,female,right,5-26-2023,3,4,2,9,,,,
111,20,female,right,5-26-2023,3,5,0,6,,,,
111,20,female,right,5-26-2023,3,6,1,6,,,,
111,20,female,right,5-26-2023,3,7,4,5,,,,
111,20,female,right,5-26-2023,3,8,2,9,,,,
111,20,female,right,5-26-2023,3,9,1,7,,,,
